Incident energy;
Incident energy;
Incident energy;σ(E)
21.70114;37.03282
21.76565;33.90074
21.83017;31.33213
21.89469;29.19421
21.95921;27.39121
22.02372;25.8533
22.07534;24.77781
22.12695;23.81756
22.23018;22.17823
22.33341;20.83709
22.43663;19.71823
22.53986;18.7671
22.64309;17.95244
22.74632;17.24784
22.84954;16.63271
23.00439;15.84372
23.15923;15.18106
23.31407;14.61633
23.46891;14.12893
23.62376;13.70357
23.7786;13.33064
23.93344;12.99982
24.01086;12.85003
24.04957;12.78629
24.08828;12.73588
24.13989;12.68699
24.1657;12.66185
24.1999;12.61539
24.2027;12.61067
24.20553;12.60575
24.21315;12.59176
24.22076;12.57673
24.23599;12.54377
24.27928;12.43723
24.32257;12.33219
24.36586;12.24314
24.40914;12.16835
24.58228;11.91464
24.75543;11.68648
24.92857;11.47707
25.27486;11.10423
25.62115;10.77783
25.92897;10.51686
26.23678;10.27767
26.5446;10.05558
26.69851;9.949255
26.77546;9.898848
26.81394;9.876021
26.85241;9.858165
26.8799;9.851308
26.90738;9.851651
26.93487;9.859761
26.96235;9.873159
26.99396;9.887041
27.02556;9.88746
27.0396;9.880729
27.06497;9.85671
27.08608;9.826664
27.10718;9.790799
27.14118;9.73023
27.17518;9.67673
27.20918;9.634891
27.24318;9.602884
27.31118;9.553599
27.37917;9.510154
27.65115;9.34355
28.21389;9.010446
28.77662;8.682665
29.33936;8.351879
29.90209;8.010503
30.18346;7.835072
30.46483;7.653227
30.7462;7.465114
31.02756;7.269812
31.30893;7.066372
31.5903;6.853899
31.87167;6.631579
32.15303;6.398802
32.41564;6.171835
32.67825;5.935828
32.94086;5.69211
33.20347;5.443572
33.46608;5.19461
33.59739;5.072983
33.72869;4.955625
33.86;4.845079
33.9913;4.74484
34.1226;4.659644
34.2539;4.596013
34.36645;4.565393
34.479;4.564946
34.59155;4.605067
34.70409;4.69947
34.81664;4.864264
34.92919;5.125224
34.98547;5.304949
35.04174;5.525395
35.06988;5.653149
35.09801;5.793919
35.12615;5.948986
35.15428;6.119541
35.16953;6.219002
35.18477;6.323626
35.20001;6.433739
35.21525;6.549617
35.23049;6.671555
35.24573;6.799864
35.26097;6.934875
35.26859;7.005002
35.27621;7.076937
35.28501;7.162325
35.2938;7.250162
35.30259;7.340622
35.31138;7.433785
35.31842;7.510405
35.32545;7.588744
35.32662;7.601963
35.32985;7.638725
35.33307;7.675774
35.33952;7.751203
35.34714;7.842451
35.35476;7.936072
35.36238;8.032133
35.37;8.130699
35.37938;8.255575
35.38876;8.384488
35.39814;8.517577
35.40752;8.654988
35.4169;8.796871
35.42628;8.943384
35.43566;9.094691
35.44503;9.250794
35.455;9.422532
35.46496;9.600121
35.48489;9.974497
35.50482;10.37592
35.52475;10.80658
35.54468;11.26888
35.56461;11.76547
35.58454;12.29927
35.60447;12.8735
35.63027;13.68278
35.65606;14.57419
35.68185;15.558
35.70764;16.64568
35.73344;17.85095
35.75923;19.1882
35.78502;20.67569
35.81081;22.33425
35.83661;24.1891
35.8624;26.26768
35.88819;28.60493
35.91398;31.24179
35.93977;34.22747
35.96556;37.62156
35.99135;41.49678
36.01714;45.94271
36.04294;51.07281
36.06873;57.02313
36.09452;63.97361
36.12031;72.15417
36.14611;81.87067
36.1719;93.51998
36.19769;107.6615
36.21059;115.9043
36.22348;125.0844
36.23579;134.878
36.2481;145.8482
36.26041;158.2095
36.27272;172.2329
36.28503;188.2656
36.29734;206.7563
36.30965;228.2898
36.32196;253.6327
36.33427;283.7912
36.34658;320.0853
36.35889;364.2377
36.3712;418.4785
36.38351;485.6622
36.39582;569.389
36.40198;618.856
36.40813;674.1188
36.41429;736.0646
36.42044;805.2602
36.42689;886.6281
36.43334;978.0143
36.43979;1080.514
36.44623;1195.096
36.45268;1323.322
36.45913;1466.267
36.46558;1625.198
36.47202;1801.093
36.47847;1995.739
36.48492;2210.064
36.49781;2701.642
36.51071;3283.78
36.5236;3959.631
36.53298;4510.622
36.54236;5109.435
36.56112;6433.649
36.59863;9359.723
36.62443;11253.09
36.63733;12048.44
36.65022;12691.73
36.66651;13239.88
36.6828;13452.67
36.69302;13406.38
36.70324;13222.92
36.72367;12474.95
36.74619;11168.46
36.76871;9541.711
36.80409;6830.73
36.82178;5580.619
36.83947;4472.869
36.84832;3980.555
36.85717;3531.278
36.86602;3124.916
36.87486;2760.796
36.88371;2436.279
36.89255;2149.724
36.9014;1897.712
36.91024;1677.812
36.91909;1486.424
36.92793;1320.892
36.93678;1177.85
36.94562;1054.799
36.95447;948.8425
36.96331;857.8432
36.97216;779.463
36.981;711.9981
36.98864;661.1402
36.99628;616.2121
37.01156;541.0203
37.02684;481.1678
37.04212;432.7591
37.0574;392.9476
37.07268;359.6703
37.08796;331.4343
37.10323;307.1698
37.11851;286.0491
37.13379;267.4969
37.16434;236.4152
37.1949;211.3878
37.22545;190.8396
37.25119;176.2003
37.27692;163.516
37.30265;152.4314
37.32838;142.6749
37.35412;134.0283
